,4,5,Ave,BBI,Ct,Econ,Inns,Mat,Mdns,Overs,Player,Runs,SR,St,Wkts,team,year
16,0.0,0.0,0.0,0.0,19.0,0.0,0.0,16.0,0.0,0.0,AB de Villiers,0.0,0.0,0.0,0.0,RCB,2016
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,TM Head,0.0,0.0,0.0,0.0,RCB,2016
18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,KM Jadhav,0.0,0.0,0.0,0.0,RCB,2016
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,SN Khan,0.0,0.0,0.0,0.0,RCB,2016
20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Mandeep Singh,0.0,0.0,0.0,0.0,RCB,2016
21,0.0,0.0,0.0,0.0,5.0,0.0,0.0,14.0,0.0,0.0,KL Rahul,0.0,0.0,4.0,0.0,RCB,2016
0,0,0,11.25,2/14,0.0,5.00,3,3.0,0,9.0,MR Marsh,45,13.5,0.0,4,RPS,2016
1,0,1,9.58,6/19,0.0,6.76,5,5.0,0,17.0,A Zampa,115,8.5,0.0,12,RPS,2016
2,0,0,40.66,2/19,2.0,7.17,10,10.0,1,34.0,R Bhatia,244,34.0,0.0,6,RPS,2016
3,1,0,31.90,4/34,3.0,7.25,14,14.0,0,44.0,R Ashwin,319,26.4,0.0,10,RPS,2016
4,0,0,21.00,3/20,0.0,7.57,9,9.0,2,30.3,AB Dinda,231,16.6,0.0,11,RPS,2016
5,0,0,0.0,0.0,1.0,7.62,3,4.0,0,8.0,IK Pathan,61,0.0,0.0,0,RPS,2016
6,0,0,84.00,1/27,1.0,7.63,3,3.0,0,11.0,Ankit Sharma,84,66.0,0.0,1,RPS,2016
7,0,0,27.00,2/31,0.0,7.71,2,2.0,0,7.0,SM Boland,54,21.0,0.0,2,RPS,2016
8,0,0,0.0,0.0,1.0,8.20,2,2.0,0,5.0,DL Chahar,41,0.0,0.0,0,RPS,2016
9,0,0,34.42,3/36,0.0,8.45,10,10.0,0,28.3,M Ashwin,241,24.4,0.0,7,RPS,2016
10,0,0,37.00,1/23,0.0,9.25,4,4.0,0,12.0,RP Singh,111,24.0,0.0,3,RPS,2016
11,0,0,36.22,3/34,5.0,9.82,11,12.0,0,33.1,NLTC Perera,326,22.1,0.0,9,RPS,2016
12,0,0,49.33,2/36,2.0,9.86,4,4.0,0,15.0,I Sharma,148,30.0,0.0,3,RPS,2016
13,0,0,33.00,2/36,1.0,13.20,2,2.0,0,5.0,JA Morkel,66,15.0,0.0,2,RPS,2016
14,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,GJ Bailey,0.0,0.0,0.0,0.0,RPS,2016
15,0.0,0.0,0.0,0.0,8.0,0.0,0.0,14.0,0.0,0.0,MS Dhoni,0.0,0.0,4.0,0.0,RPS,2016
16,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,F du Plessis,0.0,0.0,0.0,0.0,RPS,2016
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,PSP Handscomb,0.0,0.0,0.0,0.0,RPS,2016
18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,UT Khawaja,0.0,0.0,0.0,0.0,RPS,2016
19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,KP Pietersen,0.0,0.0,0.0,0.0,RPS,2016
20,0.0,0.0,0.0,0.0,7.0,0.0,0.0,14.0,0.0,0.0,AM Rahane,0.0,0.0,0.0,0.0,RPS,2016
21,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,SPD Smith,0.0,0.0,0.0,0.0,RPS,2016
22,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,SS Tiwary,0.0,0.0,0.0,0.0,RPS,2016
0,0,0,24.76,3/16,2.0,6.90,16,16.0,1,61.0,Mustafizur Rahman,421,21.5,0.0,17,SRH,2016
1,0,0,0.0,0.0,5.0,7.00,1,6.0,0,1.0,KS Williamson,7,0.0,0.0,0,SRH,2016
2,0,0,16.00,2/20,1.0,7.16,4,4.0,0,11.1,BCJ Cutting,80,13.4,0.0,5,SRH,2016
3,1,0,21.30,4/29,6.0,7.42,17,17.0,3,66.0,B Kumar,490,17.2,0.0,23,SRH,2016
4,0,0,32.33,2/16,3.0,7.46,6,17.0,0,13.0,DJ Hooda,97,26.0,0.0,3,SRH,2016
5,0,0,22.11,3/15,1.0,7.65,8,8.0,1,26.0,A Nehra,199,17.3,0.0,9,SRH,2016
6,0,0,34.58,2/17,11.0,7.98,17,17.0,0,52.0,MC Henriques,415,26.0,0.0,12,SRH,2016
7,0,0,29.50,3/28,2.0,8.34,14,14.0,0,49.3,BB Sran,413,21.2,0.0,14,SRH,2016
8,0,0,0.0,0.0,1.0,8.43,5,10.0,0,6.1,Yuvraj Singh,52,0.0,0.0,0,SRH,2016
9,0,0,40.33,1/10,2.0,8.64,6,7.0,0,14.0,Bipul Sharma,121,28.0,0.0,3,SRH,2016
