,wickets,Total,batting_team,venue,match_winner,wickets_6overs,runs_6overs,toss,year,winner
25,8,186,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,3,41,0,2016,1
26,5,194,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,1,50,0,2016,1
27,10,154,Kings XI Punjab,Saurashtra Cricket Association Stadium,Kings XI Punjab,0,63,0,2016,1
28,5,159,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,Mumbai Indians,1,55,0,2016,0
29,7,185,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,1,44,0,2016,0
30,7,149,Gujarat Lions,Saurashtra Cricket Association Stadium,Delhi Daredevils,3,36,0,2016,0
31,3,164,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,0,40,0,2016,1
32,7,162,Delhi Daredevils,Feroz Shah Kotla,Rising Pune Supergiants,2,49,0,2016,0
33,6,126,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,3,27,0,2016,0
34,6,191,Rising Pune Supergiants,M Chinnaswamy Stadium,Royal Challengers Bangalore,1,60,0,2016,0
35,5,181,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,1,46,0,2016,1
36,3,177,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,0,51,0,2016,1
37,4,158,Kolkata Knight Riders,Eden Gardens,Gujarat Lions,4,30,0,2016,0
38,6,175,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore,0,57,0,2016,1
39,8,137,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,1,34,1,2016,1
40,4,151,Royal Challengers Bangalore,M Chinnaswamy Stadium,Mumbai Indians,2,28,0,2016,0
41,8,146,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,0,52,0,2016,0
42,9,124,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kings XI Punjab,2,22,1,2016,0
43,3,248,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,0,43,0,2016,1
44,6,103,Rising Pune Supergiants,Eden Gardens,Kolkata Knight Riders,2,37,1,2016,0
45,4,179,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,1,48,1,2016,0
46,4,206,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,0,45,0,2016,1
47,5,183,Kolkata Knight Riders,Eden Gardens,Royal Challengers Bangalore,1,52,0,2016,0
48,6,121,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants,2,28,0,2016,0
49,3,211,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,0,64,0,2016,1
50,8,124,Kolkata Knight Riders,Green Park,Gujarat Lions,2,44,0,2016,0
51,7,158,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,1,46,0,2016,0
52,7,172,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants,0,53,1,2016,0
53,8,172,Mumbai Indians,Green Park,Gujarat Lions,3,50,0,2016,0
54,6,171,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,2,49,0,2016,1
55,8,138,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Royal Challengers Bangalore,2,44,0,2016,0
56,10,158,Gujarat Lions,M Chinnaswamy Stadium,Royal Challengers Bangalore,3,24,0,2016,0
57,8,162,Sunrisers Hyderabad,Feroz Shah Kotla,Sunrisers Hyderabad,1,43,0,2016,1
58,7,162,Gujarat Lions,Feroz Shah Kotla,Sunrisers Hyderabad,2,39,0,2016,0
59,7,208,Sunrisers Hyderabad,M Chinnaswamy Stadium,Sunrisers Hyderabad,0,60,1,2016,1
0,4,207,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,1,60,0,2017,1
1,8,184,Mumbai Indians,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,1,61,0,2017,0
2,4,183,Gujarat Lions,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,1,52,0,2017,0
3,6,163,Rising Pune Supergiant,Holkar Cricket Stadium,Kings XI Punjab,1,36,0,2017,0
4,8,157,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,2,42,1,2017,1
5,7,135,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,2,42,0,2017,0
6,7,178,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,2,60,0,2017,0
7,4,148,Royal Challengers Bangalore,Holkar Cricket Stadium,Kings XI Punjab,3,24,1,2017,0
8,4,205,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,1,63,0,2017,1
9,8,158,Sunrisers Hyderabad,Wankhede Stadium,Mumbai Indians,0,35,0,2017,0
10,9,170,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,1,58,0,2017,0
11,5,142,Royal Challengers Bangalore,M Chinnaswamy Stadium,Mumbai Indians,0,42,0,2017,0
12,8,171,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,Gujarat Lions,2,65,0,2017,0
13,6,172,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,2,41,0,2017,1
14,6,188,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,50,1,2017,1
15,4,176,Gujarat Lions,Wankhede Stadium,Mumbai Indians,1,47,0,2017,0
16,8,161,Rising Pune Supergiant,M Chinnaswamy Stadium,Rising Pune Supergiant,0,56,0,2017,1
17,7,168,Delhi Daredevils,Feroz Shah Kotla,Kolkata Knight Riders,0,53,1,2017,0
18,6,159,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,1,30,0,2017,1
19,2,213,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,0,45,0,2017,1
20,4,191,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,1,40,1,2017,1
21,4,198,Kings XI Punjab,Holkar Cricket Stadium,Mumbai Indians,1,46,0,2017,0
22,5,187,Kolkata Knight Riders,Eden Gardens,Gujarat Lions,1,66,0,2017,0
23,8,142,Mumbai Indians,Wankhede Stadium,Mumbai Indians,2,49,0,2017,1
24,3,176,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,0,45,0,2017,0
25,7,188,Kings XI Punjab,Saurashtra Cricket Association Stadium,Kings XI Punjab,1,50,0,2017,1
26,10,131,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,2,66,0,2017,1
27,6,160,Rising Pune Supergiant,Wankhede Stadium,Rising Pune Supergiant,0,48,0,2017,1
28,5,182,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,0,58,0,2017,0
29,10,134,Royal Challengers Bangalore,M Chinnaswamy Stadium,Gujarat Lions,3,36,0,2017,0
